연번,시도,시군구,기관명,주소,신청유형,전화번호,운영가능일자,위도,경도
1,서울,강남구,연세대학교강남세브란스병원,서울특별시 강남구 언주로211,외래진료 및 입원,02-2019-2114,2020.02.28.,37.492736,127.0462661
2,서울,강남구,강남베드로병원,"서울특별시 강남구 남부순환로2633, 2649",외래진료,02-1544-7522,2020.02.26.,37.485325100000004,127.03774309999999
3,서울,강남구,나누리병원,서울특별시 강남구 언주로 731,외래진료,1688-9797,2020.03.05.,37.5202676,127.03396520000001
4,서울,강남구,하나이비인후과병원,서울특별시 강남구 역삼로245,외래진료,02-6925-1111,2020.02.25.,37.4978534,127.04296319999999
5,서울,강동구,중앙보훈병원,서울특별시 강동구 진황도로 61길 53,외래진료 및 입원,02-2225-1111,2020.02.28.,37.528777999999996,127.14760659999999
6,서울,강동구,강동성심병원,서울특별시 강동구 성안로 150,외래진료,1588-4100,2020.03.09.,37.5361,127.1353505
7,서울,강동구,강동경희대학교병원,서울특별시 강동구 동남로 892,외래진료 및 입원,02-440-8114,2020.02.27.,37.5528301,127.15719829999999
8,서울,강서구,이화여자대학교서울병원,서울특별시 강서구 공항대로260,외래진료 및 입원,1522-7000,2020.03.02.,37.5533338,126.85102939999999
9,서울,강서구,나누리병원,서울특별시 강서구 가로공원로 187,외래진료,1688-9797,2020.03.10.,37.5373118,126.83668689999998
10,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로1636,외래진료 및 입원,02-1877-8875,2020.02.26.,37.484216599999996,126.9325109
11,서울,관악구,심정병원,서울특별시 관악구 남부순환로1485,외래진료,02-1588-3330,2020.02.26.,37.4824112,126.91571549999999
12,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,외래진료 및 입원,02-1588-1533,2020.03.09.,37.5408245,127.07222089999999
13,서울,광진구,혜민병원,서울특별시 광진구 자양로 85,외래진료,02-2049-9000,2020.03.04.,37.53519,127.08338379999998
14,서울,구로구,고려대학교구로병원,서울특별시 구로구 구로동로 148,외래진료 및 입원,02-2626-1114,2020.03.02.,37.4922173,126.88494779999999
15,서울,구로구,우리아이들병원,서울특별시 구로구 새말로15,외래진료,02-858-0100,2020.02.25.,37.4876338,126.8827256
16,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,외래진료 및 입원,02-804-0002,2020.03.05.,37.4556417,126.90056659999998
