연번,검체채취 가능여부,시도,시군구,의료기관명,주소,대표 전화번호,위도,경도
1,Y,서울,강남구,강남구보건소,서울특별시 강남구 선릉로 668 (삼성동),02-3423-5555,37.5162581,127.04221400000002
2,Y,서울,강남구,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114,37.4881568,127.08559519999999
3,Y,서울,강남구,연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,37.4927454,127.0463152
4,Y,서울,강동구,강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),02-440-7000,37.5534841,127.1576468
5,Y,서울,강동구,강동구보건소,서울특별시 강동구 성내로 45 (성내동),02-3425-8565,37.5293701,127.1255567
6,Y,서울,강동구,성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),02-2224-2358,37.5361,127.1353505
7,Y,서울,강동구,한국보훈복지의료공단중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),02-2225-1100,37.528777999999996,127.14760659999999
8,Y,서울,강북구,강북구보건소,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)","02-901-7706,02-901-7704",37.632083400000006,127.03876729999999
9,Y,서울,강서구,강서구보건소,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소)",02-2600-5868,37.549605299999996,126.868277
10,Y,서울,강서구,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",1522-7000,37.5764888,126.83074660000001
11,Y,서울,관악구,관악구보건소,서울특별시 관악구 관악로 145 (봉천동),02-879-7131,37.478321,126.95121379999999
12,N,서울,관악구,관악구보건소 신사동 코로나19 건강상담소,서울특별시 관악구 조원로 142,02-879-7241,37.4853658,126.9180914
13,Y,서울,관악구,에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",02-1877-8875,37.484216599999996,126.9325109
14,Y,서울,광진구,광진구보건소,서울특별시 광진구 자양로 117 (자양동),02-450-1937,37.53837420000001,127.0822077
15,N,서울,광진구,광진구보건소 자양보건지소,서울특별시 광진구 아차산로24길 17 ,02-450-7090,37.5401932,127.0650671
