구분,시도,시군구,의료기관명 ,주소,대표 전화번호,가능여부,위도,경도
DRIVE_THROUGH,서울,강서구,마곡 8구역 공영주차장,서울특별시 강서구 마곡동 802-3,02-120,O,37.5764888,126.83074660000001
DRIVE_THROUGH,서울,서초구,우면119안전센터,서울특별시 서초구 남부순환로 340길 29,"02-120, 02-3487-4281~2",O,37.4803512,127.0221507
DRIVE_THROUGH,서울,송파구,잠실종합운동장 서문,서울특별시 송파구 올림픽로 25,"02-120, 02-2240-8851~2",O,37.5140929,127.0749534
DRIVE_THROUGH,서울,은평구,서울시립 은평병원,서울특별시 은평구 백련산로 90,"02-120, 02-300-8114",O,37.593765100000006,126.92363069999998
DRIVE_THROUGH,부산,부산진구,부산시민공원 남문주차장,부산광역시 부산진구 시민공원로 73 부산시민공원 남문 야외주차장,"051-605-6016~8, 605-3036~9",O,35.1681759,129.0571458
DRIVE_THROUGH,부산,북구,화명운동장 주차장,부산광역시 화명동 1718-7,051-309-4500,O,35.2396856,129.0055743
DRIVE_THROUGH,부산,해운대구,해운대구보건소,부산광역시 해운대구 양운로 37번길 59(좌동),051-746-4000,O,35.164069999999995,129.1788626
DRIVE_THROUGH,대구,남구,영남대학교병원,대구광역시 남구 현충로 170,053-623-8001,O,35.8469571,128.5827831
DRIVE_THROUGH,대구,달서구,노인종합복지회관,대구 달서구 본동 ,"053-667-5754, 5755",O,35.834800099999995,128.5399272
DRIVE_THROUGH,대구,달성군,현풍도깨비시장 주차장,대구 달성군 현풍읍,"053-668-3131, 3114",O,35.697305799999995,128.4476215
DRIVE_THROUGH,대구,동구,박주영 축구장,대구 동구 율하동,"053-662-3225, 3274",O,35.866644699999995,128.6918387
DRIVE_THROUGH,대구,북구,국우터널 관리사무소,대구 북구 서변동,"053-665-2756, 2760, 3337~8, 3390",O,35.9258398,128.5928462
DRIVE_THROUGH,대구,북구,금호강 산격야영장,대구 북구 산격동 14-45,"053-665-2756, 2760, 3337~8, 3390",O,35.911372899999996,128.6049019
DRIVE_THROUGH,대구,북구,칠곡경북대학교병원,대구시 북구 호국로 807(학정동),053-200-2000,O,35.947786799999996,128.5573943
DRIVE_THROUGH,대구,서구,서구구민운동장,대구 서구 이현동,"053-663-3176, 3178",O,35.874898099999996,128.5389256
