구분,시도,시군구,기관명,주소,전화번호,"신청유형(A: 외래진료, B: 외래진료 및 입원)",위도,경도
HOSPITAL,서울,강남구,연세대학교강남세브란스병원,서울특별시 강남구 언주로211,02-2019-2114,B,37.492736,127.0462661
HOSPITAL,서울,강남구,강남베드로병원,"서울특별시 강남구 남부순환로2633, 2649",02-1544-7522,A,37.485325100000004,127.03774309999999
HOSPITAL,서울,강남구,나누리병원,서울특별시 강남구 언주로 731,1688-9797,A,37.5202676,127.03396520000001
HOSPITAL,서울,강남구,하나이비인후과병원,서울특별시 강남구 역삼로245,02-6925-1111,A,37.4978534,127.04296319999999
HOSPITAL,서울,강동구,중앙보훈병원,서울특별시 강동구 진황도로 61길 53,02-2225-1111,B,37.528777999999996,127.14760659999999
HOSPITAL,서울,강동구,강동성심병원,서울특별시 강동구 성안로 150,1588-4100,A,37.5361,127.1353505
HOSPITAL,서울,강동구,강동경희대학교병원,서울특별시 강동구 동남로 892,02-440-8114,B,37.5528301,127.15719829999999
HOSPITAL,서울,강서구,이화여자대학교서울병원,서울특별시 강서구 공항대로260,1522-7000,B,37.5533338,126.85102939999999
HOSPITAL,서울,강서구,나누리병원,서울특별시 강서구 가로공원로 187,1688-9797,A,37.5373118,126.83668689999998
HOSPITAL,서울,관악구,에이치플러스양지병원,서울특별시 관악구 남부순환로1636,02-1877-8875,B,37.484216599999996,126.9325109
HOSPITAL,서울,관악구,심정병원,서울특별시 관악구 남부순환로1485,02-1588-3330,A,37.4824112,126.91571549999999
HOSPITAL,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1,02-1588-1533,B,37.5408245,127.07222089999999
HOSPITAL,서울,광진구,혜민병원,서울특별시 광진구 자양로 85,02-2049-9000,A,37.53519,127.08338379999998
HOSPITAL,서울,구로구,고려대학교구로병원,서울특별시 구로구 구로동로 148,02-2626-1114,B,37.4922173,126.88494779999999
HOSPITAL,서울,구로구,구로성심병원,서울특별시 구로구 경인로 427,02-2067-1500,A,37.499620799999995,126.866356
HOSPITAL,서울,구로구,우리아이들병원,서울특별시 구로구 새말로15,02-858-0100,A,37.4876338,126.8827256
HOSPITAL,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,02-804-0002,B,37.4556417,126.90056659999998
HOSPITAL,서울,노원구,인제대학교 상계백병원,서울특별시 노원구 동일로1342,02-950-1114,A,37.6486101,127.06307849999997
HOSPITAL,서울,노원구,노원을지대학교병원,서울특별시 노원구 한글비석로 68,02-970-8000,A,37.6363293,127.0697068
HOSPITAL,서울,노원구,한국원자력의학원원자력병원,서울특별시 노원구 노원로 75,02-970-2114,A,37.6294332,127.08264679999999
HOSPITAL,서울,도봉구,한일병원,서울특별시 도봉구 우이천로 308,02-901-3114,B,37.6458568,127.0285789
HOSPITAL,서울,동대문구,삼육서울병원,서울특별시 동대문구 망우로82,02-1577-3675,B,37.5892778,127.06454180000001
HOSPITAL,서울,동대문구,경희대학교병원,서울특별시 동대문구 경희대로23,02-958-8114,B,37.5953632,127.05276119999998
HOSPITAL,서울,동대문구,서울성심병원,서울특별시 동대문구 왕산로259,02-966-1616,A,37.584392,127.0497209
HOSPITAL,서울,동대문구,코리아병원,서울특별시 동대문구 장한로 143,02-2281-9999,A,37.573169799999995,127.07148579999999
HOSPITAL,서울,동작구,중앙대학교병원,서울특별시 동작구 흑석로102,02-6299-1114,B,37.5069754,126.96052309999999
HOSPITAL,서울,동작구,서울특별시보라매병원,서울특별시 동작구 보라매로 5길 20,02-870-2114,A,37.4932234,126.9244612
HOSPITAL,서울,동작구,더본병원,서울특별시 동작구 동작대로67,02-587-2299,A,37.4824708,126.9815496
HOSPITAL,서울,서대문구,연세대학교신촌세브란스병원,서울특별시 서대문구 연세로 50-1,02-1599-1004,B,37.564088999999996,126.93898089999999
HOSPITAL,서울,서대문구,동신병원,서울특별시 서대문구 연희로 272,02-396-9161,A,37.581155900000006,126.93652650000001
HOSPITAL,서울,서초구,가톨릭대학교 서울성모병원,서울특별시 서초구 반포대로 222,02-1588-1511,B,37.5003974,127.00665989999999
HOSPITAL,서울,성동구,한양대학교병원,서울특별시 성동구 왕십리로222-1,02-2290-8114,B,37.5544649,127.04659710000001
HOSPITAL,서울,성북구,고려대학교안암병원,서울특별시 성북구 인촌로 73,02-920-5114,B,37.587012699999995,127.02688370000001
HOSPITAL,서울,성북구,서울척병원,서울특별시 성북구 동소문로47길 8 (길음동),1599-0033,A,37.6087865,127.02922210000001
HOSPITAL,서울,성북구,성북우리아이들병원,서울특별시 성북구 동소문로46길10,02-912-0100,A,37.608322300000005,127.0287626
HOSPITAL,서울,송파구,경찰병원,서울특별시 송파구 송이로123,02-3400-1114,A,37.4964365,127.12336239999998
HOSPITAL,서울,송파구,한솔병원,서울특별시 송파구 송파대로 445,02-2147-6000,A,37.5060406,127.10589870000001
